Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Inventory,Margin,Marketing,Profit,Sales,Total Expenses,Variance to Budget
970,1/11/10 0:00,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,100,140,110,240,95,821,139,26,101,234,38,-3%
309,1/12/10 0:00,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Illinois,Decaf,100,140,100,240,95,608,139,30,87,234,52,-3%
614,1/13/10 0:00,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Ohio,Decaf,60,90,20,150,63,435,87,57,0,150,87,0%
720,1/14/10 0:00,Central,Major Market,Decaf Espresso,Beans,Espresso,Colorado,Decaf,80,130,80,210,72,558,108,23,53,180,55,-14%
630,1/15/10 0:00,Central,Major Market,Decaf Espresso,Beans,Espresso,Illinois,Decaf,260,270,180,530,228,"1,459",228,63,140,456,88,-14%
614,1/16/10 0:00,Central,Major Market,Decaf Espresso,Beans,Espresso,Ohio,Decaf,60,90,40,150,58,338,72,22,16,130,56,-13%
754,1/17/10 0:00,East,Major Market,Decaf Irish Cream,Beans,Coffee,Florida,Decaf,80,110,70,190,84,500,116,26,67,200,49,5%
754,1/18/10 0:00,East,Major Market,Decaf Espresso,Beans,Espresso,Florida,Decaf,70,100,60,170,77,432,103,25,50,180,53,6%
325,1/19/10 0:00,South,Major Market,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,100,130,100,230,83,623,107,27,68,190,39,-17%
956,1/20/10 0:00,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Decaf,40,70,60,110,54,456,80,15,54,134,26,22%
650,1/21/10 0:00,West,Major Market,Decaf Irish Cream,Beans,Coffee,California,Decaf,180,-40,-120,140,144,862,-26,47,-117,118,91,-16%
213,1/22/10 0:00,West,Major Market,Decaf Espresso,Beans,Espresso,California,Decaf,220,300,200,520,234,"1,310",312,77,203,546,109,5%
719,1/23/10 0:00,Central,Major Market,Amaretto,Beans,Coffee,Colorado,Regular,90,130,100,220,89,777,130,24,94,219,36,0%
740,1/24/10 0:00,Central,Major Market,Amaretto,Beans,Coffee,Ohio,Regular,60,80,50,140,60,336,80,19,34,140,46,0%
970,1/25/10 0:00,Central,Major Market,Colombian,Beans,Coffee,Colorado,Regular,80,110,80,190,83,623,107,27,68,190,39,0%
217,1/26/10 0:00,Central,Major Market,Colombian,Beans,Coffee,Illinois,Regular,150,210,130,360,144,862,201,47,111,345,90,-4%
614,1/27/10 0:00,Central,Major Market,Colombian,Beans,Coffee,Ohio,Regular,60,80,50,140,57,364,83,18,42,140,41,0%
303,1/28/10 0:00,Central,Major Market,Caffe Mocha,Beans,Espresso,Colorado,Regular,60,90,70,150,54,456,80,15,54,134,26,-11%
309,1/29/10 0:00,Central,Major Market,Caffe Mocha,Beans,Espresso,Illinois,Regular,270,370,260,640,234,"1,310",312,77,203,546,109,-15%
614,1/30/10 0:00,Central,Major Market,Caffe Mocha,Beans,Espresso,Ohio,Regular,190,210,140,400,170,"1,091",171,47,99,341,72,-15%
954,1/31/10 0:00,East,Major Market,Colombian,Beans,Coffee,Florida,Regular,80,110,70,190,84,651,126,27,68,210,58,11%
413,2/1/10 0:00,East,Major Market,Colombian,Beans,Coffee,Massachusetts,Regular,60,400,360,460,72,558,422,23,367,494,55,7%
716,2/2/10 0:00,East,Major Market,Colombian,Beans,Coffee,New York,Regular,260,380,260,640,271,"2,101",407,94,262,678,145,6%
239,2/3/10 0:00,East,Major Market,Caffe Mocha,Beans,Espresso,Florida,Regular,70,110,30,180,79,551,111,72,9,190,102,6%
781,2/4/10 0:00,East,Major Market,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,60,60,-10,120,63,435,63,57,-23,126,86,5%
315,2/5/10 0:00,East,Major Market,Caffe Mocha,Beans,Espresso,New York,Regular,100,-50,-170,50,105,725,-44,95,-172,61,128,22%
978,2/6/10 0:00,East,Major Market,Regular Espresso,Beans,Espresso,Massachusetts,Regular,160,170,110,330,170,"1,091",171,47,100,341,71,3%
631,2/7/10 0:00,East,Major Market,Regular Espresso,Beans,Espresso,New York,Regular,210,270,200,480,228,"1,459",262,63,175,490,87,2%
409,2/8/10 0:00,South,Major Market,Colombian,Beans,Coffee,Texas,Regular,260,300,220,560,207,965,245,64,159,452,86,-19%
830,2/9/10 0:00,South,Major Market,Caffe Latte,Beans,Espresso,Texas,Regular,60,90,50,150,72,558,108,23,53,180,55,20%
325,2/10/10 0:00,South,Major Market,Caffe Mocha,Beans,Espresso,Texas,Regular,70,110,90,180,89,777,130,24,95,219,35,22%
916,2/11/10 0:00,West,Major Market,Amaretto,Beans,Coffee,California,Regular,110,70,30,180,95,608,50,30,-2,145,52,-19%
559,2/12/10 0:00,West,Major Market,Colombian,Beans,Coffee,California,Regular,340,500,370,840,271,"2,101",407,94,262,678,145,-19%
661,2/13/10 0:00,West,Major Market,Caffe Latte,Beans,Espresso,California,Regular,210,220,150,430,228,"1,459",228,63,140,456,88,6%
818,2/14/10 0:00,West,Major Market,Caffe Mocha,Beans,Espresso,California,Regular,100,140,20,240,105,725,145,95,17,250,128,4%
970,2/15/10 0:00,Central,Major Market,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,140,160,110,300,170,"1,091",171,47,99,341,72,14%
312,2/16/10 0:00,Central,Major Market,Chamomile,Leaves,Herbal Tea,Illinois,Decaf,70,120,100,190,89,777,130,24,95,219,35,15%
937,2/17/10 0:00,Central,Major Market,Chamomile,Leaves,Herbal Tea,Ohio,Decaf,20,50,50,70,32,456,48,8,29,80,19,14%
719,2/18/10 0:00,Central,Major Market,Lemon,Leaves,Herbal Tea,Colorado,Decaf,50,80,20,130,63,435,87,57,0,150,87,15%
630,2/19/10 0:00,Central,Major Market,Lemon,Leaves,Herbal Tea,Illinois,Decaf,70,90,60,160,83,623,107,27,68,190,39,19%
740,2/20/10 0:00,Central,Major Market,Lemon,Leaves,Herbal Tea,Ohio,Decaf,20,50,50,70,32,821,48,8,29,80,19,14%
970,2/21/10 0:00,Central,Major Market,Mint,Leaves,Herbal Tea,Colorado,Decaf,50,70,40,120,60,336,80,19,33,140,47,17%
773,2/22/10 0:00,Central,Major Market,Mint,Leaves,Herbal Tea,Illinois,Decaf,80,120,100,200,95,821,139,26,101,234,38,17%
863,2/23/10 0:00,East,Major Market,Chamomile,Leaves,Herbal Tea,Florida,Decaf,30,50,30,80,48,623,62,15,34,110,28,38%
239,2/24/10 0:00,East,Major Market,Lemon,Leaves,Herbal Tea,Florida,Decaf,40,50,20,90,54,312,66,20,13,120,53,33%
339,2/25/10 0:00,East,Major Market,Lemon,Leaves,Herbal Tea,Massachusetts,Decaf,40,60,30,100,58,338,72,22,17,130,55,30%
